rectal_temp,pulse,respiratory_rate,nasogastric_reflux_ph,packed_cell_volume,total_protein,abdomo_protein,deviation_from_normal_temp,hospital_number,temp_of_extremities,peripheral_pulse,mucous_membrane,capillary_refill_time,pain,peristalsis,abdominal_distention,nasogastric_tube,nasogastric_reflux,rectal_exam_feces,abdomen,lesion_1,abdomo_appearance,surgery,age,surgical_lesion,cp_data,number_of_treatements
38.1,132.0,24.0,6.5,57.0,8.5,3.4,0.30000000000000426,0.4377395734694805,0.9975818480195161,0.9299461302019179,0.7519102206874853,0.8001214568191058,0.9877652132624393,0.9362473000142695,1.3649008733056098,1.2141890545736613,1.1501671055146565,1.3027967289255369,1.0705095155942614,1.0796763549295276,0.8296572843021474,1.0750084285407362,1.209047402802487,1.0206036578253923,1.169492587480559,0.5002192085297608
37.5,88.0,12.0,2.0,33.0,64.0,2.0,0.29999999999999716,1.6998282016871409,0.9975818480195161,1.5192240853139996,0.8592087268142573,0.8001214568191058,1.5250952390983907,0.9362473000142695,0.9523744622554728,1.127182482891879,1.0948931845311836,0.9318966871280604,1.0705095155942614,1.0639889388411263,0.8296572843021474,1.0750084285407362,1.209047402802487,1.0206036578253923,1.169492587480559,1.279965054082058
38.3,120.0,28.0,3.5,37.0,6.4,3.4,0.5,1.0000562890120026,0.9975818480195161,0.9299461302019179,1.2228575682885443,1.3456831047029552,0.5557566619166765,1.2237507599231447,0.9523744622554728,1.2141890545736613,1.2355350913725252,1.0910198651264702,1.0595334702135508,1.4998933694942442,0.8296572843021474,1.0750084285407362,1.209047402802487,1.0206036578253923,1.169492587480559,1.2940781010603801
37.1,72.0,30.0,2.0,53.0,7.0,3.9,0.6999999999999957,1.999730449976486,0.8919834067455717,0.9299461302019179,1.2228575682885443,0.8001214568191058,1.5250952390983907,1.2237507599231447,0.9523744622554728,1.2141890545736613,1.0948931845311836,1.3027967289255369,1.0705095155942614,1.0639889388411263,1.3004509876269457,1.0750084285407362,1.209047402802487,1.0206036578253923,1.176009368190888,1.3920853717431725
38.0,52.0,48.0,7.0,47.0,7.3,2.6,0.20000000000000284,1.7141092611294908,1.5322211408687174,1.5192240853139996,1.6635568383247128,1.3456831047029552,1.9197565170993272,1.2237507599231447,1.5434331848672618,1.2141890545736613,1.1501671055146565,1.4171617147937354,1.355709596278213,1.9064275282864678,1.3004509876269457,1.3960728195867982,1.209047402802487,1.5829988117912916,1.176009368190888,1.1143047645508006
38.1,56.0,32.0,5.0,49.0,8.0,2.8,0.30000000000000426,1.0500399970602268,1.5322211408687174,1.5192240853139996,1.2033798471742703,1.3456831047029552,0.9877652132624393,1.2237507599231447,1.5434331848672618,1.127182482891879,1.0948931845311836,1.3027967289255369,1.7880347453016545,1.9064275282864678,1.3004509876269457,1.3960728195867982,1.209047402802487,1.5829988117912916,1.176009368190888,1.1999911212048993
38.3,36.0,16.0,2.0,43.0,75.0,1.0,0.5,1.2631284366342348,0.9975818480195161,0.9299461302019179,1.6635568383247128,1.3456831047029552,0.7012406430715318,1.6520176983366657,1.3649008733056098,1.127182482891879,1.0948931845311836,1.3027967289255369,1.2261726017511287,1.7965446449024038,1.3004509876269457,1.0750084285407362,1.209047402802487,1.5829988117912916,1.176009368190888,1.2631284366342348
39.2,114.0,24.0,4.5,57.0,7.6,4.5,1.4000000000000057,0.39608648342929365,0.9975818480195161,0.9299461302019179,0.8592087268142573,0.8001214568191058,1.5250952390983907,1.2237507599231447,0.9523744622554728,1.2141890545736613,1.2355350913725252,0.9318966871280604,1.0705095155942614,0.9311132434282451,0.8296572843021474,1.3960728195867982,1.209047402802487,1.0206036578253923,1.176009368190888,0.39608648342929365
37.4,48.0,12.0,7.0,40.0,7.8,2.6,0.3999999999999986,1.399925953397796,0.9975818480195161,0.9299461302019179,1.6635568383247128,1.3456831047029552,1.9197565170993272,1.7389458862466207,1.3649008733056098,1.2141890545736613,1.0948931845311836,1.4171617147937354,1.7880347453016545,1.9064275282864678,1.3004509876269457,1.3960728195867982,1.209047402802487,1.5829988117912916,1.176009368190888,1.279965054082058
38.3,129.0,48.0,4.4,57.0,4.9,2.9,0.5,0.666831568690508,0.9975818480195161,0.9299461302019179,1.2228575682885443,1.3456831047029552,0.9877652132624393,0.9362473000142695,0.9523744622554728,1.2141890545736613,1.2355350913725252,1.0667694295998702,1.1297521480872734,0.588425752144274,1.3004509876269457,1.0750084285407362,1.209047402802487,1.0206036578253923,1.176009368190888,1.3920853717431725
38.3,84.0,48.0,5.3,46.0,7.5,2.0,0.5,1.0500399970602268,0.9975818480195161,1.5192240853139996,0.8592087268142573,1.3456831047029552,0.9877652132624393,0.9362473000142695,0.9523744622554728,1.2141890545736613,1.0948931845311836,0.9318966871280604,1.0705095155942614,1.0639889388411263,1.3004509876269457,1.0750084285407362,1.209047402802487,1.0206036578253923,1.176009368190888,1.1999911212048993
39.3,84.0,30.0,2.0,65.0,8.0,2.0,1.5,1.8331180898157386,0.9975818480195161,0.9299461302019179,0.8592087268142573,0.8001214568191058,0.9877652132624393,0.9362473000142695,0.9523744622554728,1.127182482891879,1.0948931845311836,0.9318966871280604,1.0595334702135508,0.8070157613774815,1.5985234288536163,1.0750084285407362,1.209047402802487,1.0206036578253923,1.169492587480559,1.083362469092376
